Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BAT-TH_CR2032-BS-6-1,1,Battery_Cell,C969909
BZ1,Buzzer_12x9.5RM7.6,1,Buzzer,
"C1, C4",1206,2,4.7uF/50V,C29823
C10,0603,1,0.01uF,C1589
C11,0603,1,0.1uF/50V,C1591
C12,0603,1,68pF,C1680
C13,0603,1,8200pF,C1322360
"C14, C3, C5",0603,3,22uF,C59461
C15,0603,1,10uF,C19702
"C16, C27, C28, C29, C8",0603,5,100nF,C14663
C17,0603,1,1uF,C14663
"C2, C6",0805,2,1uF,C49678
"C25, C26",1210,2,22uF/16V,C55530
C7,0603,1,0.01uF/50V,C1589
C9,0603,1,10uF,C85713
D1,D_SMA,1,SS34,C7420365
"D2, D4, D7",0805,3,LED,C2297
D3,D_SOD-123F,1,1N4001,C2892326
"J1, J6",TerminalBlock_Xinya_XY308-2.54-4P_1x04_P2.54mm_Horizontal,2,Screw_Terminal_01x04,
J10,TerminalBlock_Xinya_XY308-2.54-3P_1x03_P2.54mm_Horizontal,1,Screw_Terminal_01x03,
J11,TerminalBlock_MetzConnect_Type073_RT02602HBLU_1x02_P5.08mm_Horizontal,1,Screw_Terminal_01x02,
J12,TerminalBlock_MetzConnect_Type073_RT02603HBLU_1x03_P5.08mm_Horizontal,1,Screw_Terminal_01x03,
J2,BarrelJack_GCT_DCJ200-10-A_Horizontal,1,Barrel_Jack_MountingPin,
"J3, J4",JST_EH_B5B-EH-A_1x05_P2.50mm_Vertical,2,Conn_01x05_Pin,
J7,PinHeader_1x04_P2.54mm_Vertical,1,FTDI,
J9,JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,1,Conn_01x04_Pin,
"JP1, JP2, JP8",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,3,SolderJumper_2_Open,
"JP11, JP12, JP13, JP3, JP4, JP5",PinHeader_1x02_P2.54mm_Vertical,6,SolderJumper_2_Open,
JP14,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,1,SolderJumper_2_Open,
K1,RELAY-TH_SLA-XXVDC-SL-C,1,~,
L1,IND-SMD_L11.5-W10.0_FXL1040,1,10uH,C475915
"Q1, Q2, Q3, Q4",SOT-23-3,4,Q_NMOS_Depletion_GSD, C75882
R1,0603,1,332k,C23139
"R10, R20, R22, R23, R24, R25, R26, R27, R30",0603,9,1K,C21190
"R11, R19, R21, R4",0805,4,10K,C2930231
"R12, R13, R16, R8",0603,4,10K,C21190
R17,0603,1,100K,C21190
"R2, R3",0603,2,4.7K,C2960810
R28,0603,1,10.5k,C2933127
R31,0603,1,2.00k,C105576
R32,0603,1,100K,C105574
R33,0603,1,10K,C2906982
R34,0603,1,40.2K,C12447
R5,0603,1,68.1k,C25976
R6,0603,1,28.0k,C22989
R7,0603,1,0R,C95177
SW1,SW_SPST_PTS645,1,SW_Push,C2689642
"SW2, SW3",SW_SPST_PTS645,2,SW_Push,
SW5,DPDT_PUSH,1,SW_Slide_DPDT,
SW7,PinHeader_1x02_P2.54mm_Vertical,1,SW_Push,C2689642
"TP1, TP2",TestPoint_Pad_D1.5mm,2,TestPoint,
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,C5199435
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,TPS54331D,C9865
U4,APC-817xx-SL_AMB,1,PC817,C66405
U5,SOT-23-6,1,TPL5010,C473912
U6,SOIC-8_3.9x4.9mm_P1.27mm,1,SOLA-IC SLM1302,C125188
U7,ESP32-WROOM-32UE,1,ESP32-WROOM-32,C529577
Y1,OSC-SMD_L3.2-W1.5,1,Crystal,C97606
