Designator,Mid X,Mid Y,Rotation,Layer
BT1,224.43,-83.24,270.0,bottom
BZ1,244.69,-100.62,180.0,top
C1,238.01,-60.87,0.0,top
C10,230.9,-67.115,180.0,top
C11,239.57,-70.18,270.0,top
C12,236.9,-75.2,0.0,top
C13,234.59,-75.975,270.0,top
C14,209.57,-80.73,90.0,top
C15,207.59,-84.98,90.0,top
C16,206.0,-84.9775,90.0,top
C17,250.6825,-117.05,0.0,top
C2,229.2725,-74.505,90.0,top
C25,240.938093,-86.131743,180.0,top
C26,245.733093,-86.141743,0.0,top
C27,211.26,-80.73,90.0,top
C28,215.73,-72.4,180.0,top
C29,234.83,-92.02,270.0,top
C3,227.2625,-74.105,90.0,top
C4,238.01,-63.42,0.0,top
C5,219.7225,-74.105,90.0,top
C6,223.4925,-74.505,90.0,top
C7,237.19,-65.48,0.0,top
C8,221.4825,-74.275,90.0,top
C9,225.5025,-74.275,90.0,top
D1,244.41,-66.9175,90.0,top
D2,233.145,-55.60875,0.0,top
D3,233.45,-51.3925,180.0,top
D4,202.755,-94.24,180.0,top
D7,202.775,-96.44,180.0,top
J1,229.365,-122.3025,0.0,top
J10,241.8225,-122.3025,0.0,top
J11,234.25,-35.137399,0.0,top
J12,220.3,-35.14,0.0,top
J2,251.05,-35.95,180.0,top
J3,202.9,-77.6,270.0,top
J4,253.13,-76.6,90.0,top
J6,215.6375,-122.3025,0.0,top
J7,253.98,-100.07,0.0,top
J9,253.13,-60.56,90.0,top
JP10,228.245,-113.36,0.0,top
JP11,243.02,-53.3,90.0,top
JP12,243.02,-49.57,90.0,top
JP13,243.035,-45.94,90.0,top
JP3,221.43,-106.35,0.0,top
JP4,217.65,-106.35,0.0,top
JP5,213.823333,-106.33,0.0,top
JP7,232.02,-113.29,0.0,top
K1,214.211,-52.389999,90.0,top
L1,244.15,-77.75,270.0,top
Q1,221.7375,-114.43,180.0,top
Q2,233.3,-58.609375,180.0,top
Q3,236.41,-114.2575,90.0,top
Q4,242.689892,-92.195891,180.0,top
R1,234.03,-65.49,180.0,top
R10,211.03,-107.925,90.0,top
R11,218.4375,-114.44,270.0,top
R12,254.07,-117.05,180.0,top
R13,208.71,-99.78,90.0,top
R16,208.6,-110.7,90.0,top
R17,225.58,-110.71,90.0,top
R19,233.1,-61.74,180.0,top
R2,207.2225,-75.13,180.0,top
R20,232.9,-53.578125,0.0,top
R21,236.37,-110.7475,180.0,top
R22,244.9825,-109.73,180.0,top
R24,243.37,-108.11,180.0,top
R25,225.55,-102.93,270.0,top
R27,206.6725,-94.245,0.0,top
R28,234.54,-80.65,90.0,top
R3,207.2225,-77.15,180.0,top
R30,206.6925,-96.48,0.0,top
R31,235.35,-78.31,0.0,top
R32,233.23,-92.0075,270.0,top
R33,220.27,-69.21,90.0,top
R34,218.71,-69.22,90.0,top
R4,239.589892,-92.095891,270.0,top
R5,230.91,-65.5,180.0,top
R6,236.9,-76.75,0.0,top
R7,235.32,-82.97,180.0,top
R8,236.39,-92.0025,270.0,top
SW1,252.31,-111.11,270.0,top
SW2,204.24,-103.18,90.0,top
SW3,204.24,-114.1,90.0,top
SW5,235.04,-46.04,90.0,top
SW7,235.21,-96.39,90.0,top
U1,225.12,-67.63,270.0,top
U2,235.755,-70.45,180.0,top
U4,232.35,-104.17,180.0,top
U5,215.8,-69.6825,0.0,top
U6,205.8,-89.615,270.0,top
U7,221.99,-88.28,0.0,top
Y1,200.69,-89.7,90.0,top
